"MonthlyRevenue","IncomeGroup","AgeHH1","fit.cluster"
24,4,62,2
16.99,5,40,2
38,6,26,2
82.28,6,30,1
17.14,9,46,2
38.05,1,28,2
31.66,9,52,2
62.13,6,46,1
35.3,9,36,2
81,5,46,1
212.51,3,30,3
42.56,1,58,2
63.02,3,99,2
50.97,1,30,2
172.44,6,48,3
29.99,9,52,2
24.49,9,36,2
30,3,42,2
35.55,5,40,2
21.15,7,74,2
28.5,9,48,2
99.91,7,28,1
30,9,36,2
33.48,9,50,2
82.16,8,46,1
30,9,74,2
16.14,6,64,2
57.98,9,50,2
78.29,5,50,1
107.23,7,36,1
30.26,3,72,2
145.79,9,64,3
51.24,6,44,2
20.18,7,46,2
36.84,7,40,2
37.99,7,76,2
91.17,6,30,1
29.73,6,40,2
149.99,6,50,3
84.91,3,48,1
17.43,4,44,2
163.54,7,50,3
66.28,7,30,1
21.12,7,54,2
76.74,7,54,1
196.76,7,38,3
79.44,8,30,1
56.31,1,42,2
79.59,2,52,1
35.3,6,50,2
75.73,9,48,1
49.99,7,48,2
23.5,6,68,2
29.99,1,56,2
103.28,4,48,1
71.86,7,40,1
114.13,4,40,1
45.85,6,46,2
105.84,6,62,1
113.52,7,48,1
51.46,6,48,2
35.58,5,42,2
114.54,7,44,1
159.52,3,38,3
50.48,6,38,2
75,6,58,1
281.33,6,48,3
97.83,9,62,1
55.51,6,48,2
70.19,5,32,1
30.86,4,32,2
260.81,5,40,3
36.39,7,54,2
50,7,50,2
106.33,1,42,1
27.25,8,40,2
83.83,7,46,1
30.32,6,56,2
30,7,72,2
108.72,4,38,1
32.27,4,42,2
43.72,3,38,2
32.5,4,44,2
79.39,6,42,1
90.9,5,52,1
103.16,5,50,1
164.14,7,54,3
117.12,2,30,1
8.07,5,40,2
41.29,6,46,2
41.09,4,42,2
13.25,7,38,2
44.96,4,50,2
28.73,8,44,2
50.31,4,42,2
50.53,7,56,2
23.5,5,38,2
77.04,7,54,1
166.82,5,30,3
111.61,5,62,1
85.58,5,54,1
51.14,7,54,2
56.48,6,60,2
87.52,3,32,1
103.5,7,60,1
124.52,6,52,1
134.3,6,58,1
75,9,64,1
34.4,7,64,2
53.69,5,36,2
135.15,2,68,1
83.64,8,50,1
104.45,7,46,1
79.88,7,40,1
96.45,7,62,1
50.58,7,54,2
63.3,7,56,1
121,6,48,1
125.23,2,36,1
316.47,6,44,3
20.12,6,46,2
29.99,6,50,2
53.69,9,48,2
76.47,6,38,1
10,3,56,2
92.3,6,28,1
98.82,3,72,1
35.3,6,60,2
105.37,6,42,1
47.5,7,60,2
105.73,8,60,1
51.62,9,54,2
529.63,2,34,3
76.84,3,54,1
80.97,9,42,1
99.42,7,50,1
104.98,6,48,1
35.34,9,42,2
32.02,9,46,2
74.09,7,58,1
77.65,5,54,1
23.24,2,32,2
77.23,4,42,1
111.39,5,60,1
63.48,6,38,1
38.17,1,52,2
79.19,6,50,1
90.92,7,48,1
145.15,9,88,3
51.72,3,50,2
87.62,3,44,1
129.43,6,38,1
64.98,7,52,1
99.04,4,52,1
10,6,40,2
74.37,7,32,1
20,6,30,2
83.67,7,54,1
96.3,0,48,1
95,4,52,1
112.06,6,38,1
86.3,5,40,1
65.9,6,36,1
38.53,8,48,2
79.88,8,40,1
50.98,9,44,2
51.9,5,62,2
134.57,7,48,1
77.26,4,44,1
28.68,5,62,2
38.93,9,48,2
20.88,4,56,2
93.7,4,38,1
96.33,7,50,1
48.98,9,52,2
48.89,7,50,2
5,1,56,2
98.24,5,70,1
110.7,9,28,1
45.4,7,44,2
37.56,9,50,2
87.71,6,60,1
106.08,4,54,1
25.21,9,60,2
76.12,9,46,1
74.22,4,36,1
