MonthlyRevenue,IncomeGroup,AgeHH1
24,4,62
16.99,5,40
38,6,26
82.28,6,30
17.14,9,46
38.05,1,28
31.66,9,52
62.13,6,46
35.3,9,36
81,5,46
212.51,3,30
42.56,1,58
63.02,3,99
50.97,1,30
172.44,6,48
29.99,9,52
24.49,9,36
30,3,42
35.55,5,40
21.15,7,74
28.5,9,48
99.91,7,28
30,9,36
33.48,9,50
82.16,8,46
30,9,74
16.14,6,64
57.98,9,50
78.29,5,50
107.23,7,36
30.26,3,72
145.79,9,64
51.24,6,44
20.18,7,46
36.84,7,40
37.99,7,76
91.17,6,30
29.73,6,40
149.99,6,50
84.91,3,48
17.43,4,44
163.54,7,50
66.28,7,30
21.12,7,54
76.74,7,54
196.76,7,38
79.44,8,30
56.31,1,42
79.59,2,52
35.3,6,50
75.73,9,48
49.99,7,48
23.5,6,68
29.99,1,56
103.28,4,48
71.86,7,40
114.13,4,40
45.85,6,46
105.84,6,62
113.52,7,48
51.46,6,48
35.58,5,42
114.54,7,44
159.52,3,38
50.48,6,38
75,6,58
281.33,6,48
97.83,9,62
55.51,6,48
70.19,5,32
30.86,4,32
260.81,5,40
36.39,7,54
50,7,50
106.33,1,42
27.25,8,40
83.83,7,46
30.32,6,56
30,7,72
108.72,4,38
32.27,4,42
43.72,3,38
32.5,4,44
79.39,6,42
90.9,5,52
103.16,5,50
164.14,7,54
117.12,2,30
8.07,5,40
41.29,6,46
41.09,4,42
13.25,7,38
44.96,4,50
28.73,8,44
50.31,4,42
50.53,7,56
23.5,5,38
77.04,7,54
166.82,5,30
111.61,5,62
85.58,5,54
51.14,7,54
56.48,6,60
87.52,3,32
103.5,7,60
124.52,6,52
134.3,6,58
75,9,64
34.4,7,64
53.69,5,36
135.15,2,68
83.64,8,50
104.45,7,46
79.88,7,40
96.45,7,62
50.58,7,54
63.3,7,56
121,6,48
125.23,2,36
316.47,6,44
20.12,6,46
29.99,6,50
53.69,9,48
76.47,6,38
10,3,56
92.3,6,28
98.82,3,72
35.3,6,60
105.37,6,42
47.5,7,60
105.73,8,60
51.62,9,54
529.63,2,34
76.84,3,54
80.97,9,42
99.42,7,50
104.98,6,48
35.34,9,42
32.02,9,46
74.09,7,58
77.65,5,54
23.24,2,32
77.23,4,42
111.39,5,60
63.48,6,38
38.17,1,52
79.19,6,50
90.92,7,48
145.15,9,88
51.72,3,50
87.62,3,44
129.43,6,38
64.98,7,52
99.04,4,52
10,6,40
74.37,7,32
20,6,30
83.67,7,54
96.3,0,48
95,4,52
112.06,6,38
86.3,5,40
65.9,6,36
38.53,8,48
79.88,8,40
50.98,9,44
51.9,5,62
134.57,7,48
77.26,4,44
28.68,5,62
38.93,9,48
20.88,4,56
93.7,4,38
96.33,7,50
48.98,9,52
48.89,7,50
5,1,56
98.24,5,70
110.7,9,28
45.4,7,44
37.56,9,50
87.71,6,60
106.08,4,54
25.21,9,60
76.12,9,46
74.22,4,36
83.58,6,48
74.95,6,80
30.26,7,54
99.61,7,48
25.04,6,42
75.67,6,56
55.98,9,52
7.5,6,38
191.66,9,36
37.35,9,50
64.8,3,58
17.14,9,56
80.28,6,40
100.05,8,46
147.46,0,40
38.88,7,30
43.83,7,48
74.52,8,42
45.43,3,34
203.97,4,34
88.24,9,42
103.21,5,38
61.62,6,28
58.12,9,42
87.07,5,32
30.32,8,54
77.5,9,42
51.45,7,76
93.58,6,50
63.3,5,46
72.65,3,40
42.2,7,34
40.52,6,54
117.6,9,56
56.38,6,26
88.24,4,50
50,7,46
75.92,5,58
93.2,5,38
79.42,3,56
34.31,7,40
84.36,8,56
108.67,6,38
113.37,6,34
48.39,7,44
58.98,2,46
142.77,6,38
71.01,6,38
78.22,6,36
57.01,7,62
63.73,6,42
49.99,7,52
48.33,6,38
50,8,38
75.09,5,62
50.32,2,54
95.27,5,42
79.84,9,50
55.34,9,80
349.73,9,52
93.06,6,34
300.22,6,34
163.38,5,46
39.99,5,50
33.85,5,34
93.97,1,46
109.49,4,42
150.36,7,40
102.47,6,34
69.32,4,38
89.05,7,50
276.15,7,34
5.04,8,32
12.21,7,28
53.42,6,58
92.3,1,54
30.32,6,44
51.18,9,38
180.81,8,34
25.05,5,60
25.93,7,74
236.02,6,34
84.81,8,38
110.73,7,52
81.37,9,54
195.16,9,34
101.17,9,56
85.53,9,48
20.18,4,68
88.38,6,32
559.79,7,40
83.36,3,30
30,6,36
74.77,9,46
96.34,6,34
91.36,8,52
20.24,5,82
64.88,9,38
62.12,1,48
56.9,4,38
23.86,7,30
109.33,7,72
219.95,9,34
35,1,42
30,7,54
155.38,9,34
5,9,44
69.01,7,30
31.93,4,30
131.18,3,26
312.26,8,30
100.71,5,28
29.99,9,46
124.09,8,36
31.79,5,56
68.09,7,40
108.84,6,52
72.62,9,46
103.76,2,34
177.81,5,46
85.18,9,48
255.54,7,40
84.35,7,60
265.67,0,24
41.99,5,46
358.85,9,40
30.26,6,44
64.25,4,48
80.94,3,32
50.49,6,48
33.6,9,54
58.74,5,50
128.1,8,38
7.74,7,42
62.95,6,46
131.3,9,44
38.75,9,42
71.64,6,64
96.01,6,30
82.73,7,30
106.57,4,40
36.83,1,38
55,9,60
64.81,3,32
95.1,7,48
112.34,6,38
79.28,6,30
30,7,50
43.74,6,38
174.01,7,48
217.64,8,38
69.61,7,54
62.31,6,28
91.15,9,52
26.73,7,58
36.34,6,62
57.59,4,42
102.22,7,26
37.6,9,48
53.24,9,60
82.58,7,40
117.21,7,40
71.62,5,30
37.19,7,46
75.11,6,58
37.61,6,58
59.6,9,38
156.87,9,46
15.56,5,48
92,9,40
44.2,5,56
50.09,1,30
118.5,9,48
84.05,8,54
60.48,9,48
89.94,9,56
102.47,9,42
17.14,5,74
28.75,4,58
45.85,7,34
79.56,6,56
77.34,6,32
36.97,6,52
51.99,9,52
65.11,3,46
34.26,4,26
20.38,5,50
52.85,6,34
80.39,9,32
55.04,6,34
81.87,6,36
46.54,8,52
90.72,6,50
40.35,3,66
32.36,7,32
99.48,5,52
32.23,3,54
131.07,7,44
37.02,6,30
73.19,7,38
66.29,9,56
218.86,3,26
60.55,9,46
73.47,3,32
11.62,9,58
46.75,7,30
10.56,7,58
50.6,7,30
30.19,9,46
105.57,8,36
222.69,4,70
83.46,6,38
60,9,56
208.28,5,30
66.39,9,44
127.59,6,40
31.41,3,44
